Aula,Situazione,BSSID,SSID,Signal
Corridor,Empty,00:81:c4:93:d3:41,ALMAWIFI,-48.0
Corridor,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-66.0
Corridor,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-79.0
Corridor,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-77.0
Corridor,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-84.0
Corridor,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
Corridor,Empty,8c:1e:80:46:19:41,ALMAWIFI,-79.0
Corridor,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-80.0
Corridor,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-71.0
Corridor,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-90.0
Corridor,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
Corridor,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-81.0
Corridor,Empty,2c:31:24:c0:bc:0e,ALMAWIFI,-94.0
Corridor,Empty,00:81:c4:93:d3:41,ALMAWIFI,-50.0
Corridor,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-66.0
Corridor,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-76.0
Corridor,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-84.0
Corridor,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-82.0
Corridor,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
Corridor,Empty,8c:1e:80:46:19:41,ALMAWIFI,-79.0
Corridor,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-80.0
Corridor,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-71.0
Corridor,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-90.0
Corridor,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
Corridor,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-86.0
Corridor,Empty,2c:31:24:c0:bc:0e,ALMAWIFI,-93.0
Corridor,Empty,8c:1e:80:51:e3:01,ALMAWIFI,-85.0
Corridor,Empty,8c:1e:80:46:19:4e,ALMAWIFI,-92.0
Corridor,Empty,00:81:c4:93:d3:41,ALMAWIFI,-49.0
Corridor,Empty,00:81:c4:93:d3:4e,ALMAWIFI,-64.0
Corridor,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-76.0
Corridor,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-84.0
Corridor,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-86.0
Corridor,Empty,00:a6:ca:10:c8:01,ALMAWIFI,-78.0
Corridor,Empty,8c:1e:80:46:19:41,ALMAWIFI,-86.0
Corridor,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-80.0
Corridor,Empty,b0:aa:77:a8:42:51,ALMAWIFI,-67.0
Corridor,Empty,60:b9:c0:9c:49:02,ALMAWIFI,-90.0
Corridor,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
Corridor,Empty,2c:31:24:c0:bc:01,ALMAWIFI,-83.0
Corridor,Empty,2c:31:24:c0:bc:0e,ALMAWIFI,-95.0
