Aula,Situazione,BSSID,SSID,Signal
Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-93.0
Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-86.0
Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-76.0
Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-72.0
Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-95.0
Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-91.0
Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-93.0
Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-93.0
Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-84.0
Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-83.0
Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-71.0
Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-93.0
Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-91.0
Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-93.0
Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
Garden,Empty,00:a6:ca:10:c7:4e,ALMAWIFI,-89.0
Garden,Empty,00:a6:ca:56:6a:1e,ALMAWIFI,-89.0
Garden,Empty,00:a6:ca:56:76:fe,ALMAWIFI,-93.0
Garden,Empty,00:a6:ca:10:c8:0e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:5f:8d:21,ALMAWIFI,-84.0
Garden,Empty,38:91:b7:3d:b9:21,ALMAWIFI,-80.0
Garden,Empty,00:a6:ca:5f:8d:2e,ALMAWIFI,-92.0
Garden,Empty,00:a6:ca:10:c7:41,ALMAWIFI,-72.0
Garden,Empty,dc:f7:19:09:08:0e,ALMAWIFI,-87.0
Garden,Empty,dc:f7:19:45:33:8e,ALMAWIFI,-91.0
Garden,Empty,60:b9:c0:9c:49:0d,ALMAWIFI,-90.0
Garden,Empty,38:91:b7:3d:b9:2e,ALMAWIFI,-93.0
Garden,Empty,dc:f7:19:09:08:01,ALMAWIFI,-81.0
Garden,Empty,00:a6:ca:10:c7:4e,ALMAWIFI,-89.0
Garden,Empty,00:a6:ca:56:6a:1e,ALMAWIFI,-89.0
Garden,Empty,00:a6:ca:56:76:f1,ALMAWIFI,-86.0
