Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-72
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-72
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-55
2025-03-10 13:56:52,Corridor,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-65
2025-03-10 13:56:52,Corridor,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-82
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-63
2025-03-10 13:56:52,Corridor,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-96
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-67
2025-03-10 13:56:52,Corridor,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-93
2025-03-10 13:56:52,Corridor,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-79
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-82
2025-03-10 13:56:52,Corridor,Crowded,60:b9:c0:9c:49:0d,ALMAWIFI,-92
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-69
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-65
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-52
2025-03-10 13:56:56,Corridor,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-64
2025-03-10 13:56:56,Corridor,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-86
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-66
2025-03-10 13:56:56,Corridor,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-96
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-73
2025-03-10 13:56:56,Corridor,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-93
2025-03-10 13:56:56,Corridor,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-85
2025-03-10 13:56:56,Corridor,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-81
2025-03-10 13:56:56,Corridor,Crowded,60:b9:c0:9c:49:0d,ALMAWIFI,-92
