Timestamp,Aula,Situazione,BSSID,SSID,Signal
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:f0,eduroam,-71
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:00,eduroam,-66
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:f1,ALMAWIFI,-72
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:01,ALMAWIFI,-72
2025-03-10 13:56:52,Corridor,Crowded,b8:11:4b:07:8f:00,eduroam,-86
2025-03-10 13:56:52,Corridor,Crowded,04:a1:51:c1:c8:56,BatWlan,-79
2025-03-10 13:56:52,Corridor,Crowded,fa:25:51:6c:05:e8,DIRECT-1HJ4vEB53FE19GOVE,-53
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:20,eduroam,-58
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:21,ALMAWIFI,-55
2025-03-10 13:56:52,Corridor,Crowded,8c:1e:80:46:19:40,eduroam,-65
2025-03-10 13:56:52,Corridor,Crowded,8c:1e:80:46:19:41,ALMAWIFI,-65
2025-03-10 13:56:52,Corridor,Crowded,38:91:b7:3d:b9:2e,ALMAWIFI,-82
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:2f,eduroam,-63
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:5f:8d:2e,ALMAWIFI,-63
2025-03-10 13:56:52,Corridor,Crowded,38:91:b7:3d:b9:2f,eduroam,-82
2025-03-10 13:56:52,Corridor,Crowded,b8:11:4b:07:8f:0f,eduroam,-96
2025-03-10 13:56:52,Corridor,Crowded,b8:11:4b:07:8f:0e,ALMAWIFI,-96
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:ff,eduroam,-81
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:0e,ALMAWIFI,-67
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:10:c8:0f,eduroam,-65
2025-03-10 13:56:52,Corridor,Crowded,b0:aa:77:a8:42:50,eduroam,-88
2025-03-10 13:56:52,Corridor,Crowded,b0:aa:77:a8:42:52,AULEUNIBO,-89
2025-03-10 13:56:52,Corridor,Crowded,00:81:c4:93:d3:40,eduroam,-76
2025-03-10 13:56:52,Corridor,Crowded,f0:a8:82:eb:46:08,GKU-D600Pro-EB4608,-89
2025-03-10 13:56:52,Corridor,Crowded,d8:ec:e5:da:5e:39,TSUNAMI 2G,-92
2025-03-10 13:56:52,Corridor,Crowded,00:81:c4:93:d3:4e,ALMAWIFI,-93
2025-03-10 13:56:52,Corridor,Crowded,00:81:c4:93:d3:4f,eduroam,-94
2025-03-10 13:56:52,Corridor,Crowded,8c:1e:80:46:19:4e,ALMAWIFI,-79
2025-03-10 13:56:52,Corridor,Crowded,00:a6:ca:56:76:fe,ALMAWIFI,-82
2025-03-10 13:56:52,Corridor,Crowded,60:b9:c0:9c:49:0f,EmiliaRomagnaWiFi wifiprivacy.it,-92
2025-03-10 13:56:52,Corridor,Crowded,60:b9:c0:9c:49:0e,eduroam,-92
