Timestamp,Location,SSID,Channel,Security,RSSI,Band,Status
2025-03-06 11:04:21,E1,ALMAWIFI,52,WPA2 Enterprise,-77 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,ALMAWIFI,11,WPA2 Enterprise,-50 dBm,2.4GHz,hybrid
2025-03-06 11:04:21,E1,ALMAWIFI,100,WPA2 Enterprise,-83 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,ALMAWIFI,132,WPA2 Enterprise,-55 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,ALMAWIFI,44,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,TIM-45424657,112,WPA2 Personal,-91 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,eduroam,52,WPA2 Enterprise,-77 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,eduroam,100,WPA2 Enterprise,-82 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,eduroam,132,WPA2 Enterprise,-55 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,eduroam,44,WPA2 Enterprise,-43 dBm,5GHz,hybrid
2025-03-06 11:04:21,E1,eduroam,11,WPA2 Enterprise,-50 dBm,2.4GHz,hybrid
2025-03-06 11:04:25,E1,ALMAWIFI,11,WPA2 Enterprise,-48 dBm,2.4GHz,hybrid
2025-03-06 11:04:25,E1,ALMAWIFI,52,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,ALMAWIFI,100,WPA2 Enterprise,-79 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,ALMAWIFI,132,WPA2 Enterprise,-54 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,ALMAWIFI,44,WPA2 Enterprise,-39 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,BatWlan,1,WPA/WPA2 Personal,-83 dBm,2.4GHz,hybrid
2025-03-06 11:04:25,E1,PosteMobile-77364291,11,WPA2 Personal,-85 dBm,2.4GHz,hybrid
2025-03-06 11:04:25,E1,TIM-45424657,112,WPA2 Personal,-87 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,eduroam,132,WPA2 Enterprise,-54 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,eduroam,100,WPA2 Enterprise,-79 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,eduroam,11,WPA2 Enterprise,-48 dBm,2.4GHz,hybrid
2025-03-06 11:04:25,E1,eduroam,52,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:25,E1,eduroam,44,WPA2 Enterprise,-39 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,ALMAWIFI,11,WPA2 Enterprise,-50 dBm,2.4GHz,hybrid
2025-03-06 11:04:28,E1,ALMAWIFI,52,WPA2 Enterprise,-67 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,ALMAWIFI,44,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,ALMAWIFI,100,WPA2 Enterprise,-77 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,ALMAWIFI,132,WPA2 Enterprise,-52 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,BatWlan,132,None,-91 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,PosteMobile-77364291,6,WPA2 Personal,-52 dBm,2.4GHz,hybrid
2025-03-06 11:04:28,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:28,E1,TIM-45424657,112,WPA2 Personal,-86 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,eduroam,132,WPA2 Enterprise,-52 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,eduroam,100,WPA2 Enterprise,-77 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,eduroam,52,WPA2 Enterprise,-67 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,eduroam,44,WPA2 Enterprise,-44 dBm,5GHz,hybrid
2025-03-06 11:04:28,E1,eduroam,11,WPA2 Enterprise,-50 dBm,2.4GHz,hybrid
2025-03-06 11:04:32,E1,ALMAWIFI,11,WPA2 Enterprise,-42 dBm,2.4GHz,hybrid
2025-03-06 11:04:32,E1,ALMAWIFI,52,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,ALMAWIFI,44,WPA2 Enterprise,-48 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,ALMAWIFI,100,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,ALMAWIFI,132,WPA2 Enterprise,-52 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:32,E1,BatWlan,132,None,-91 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,PosteMobile-77364291,6,WPA2 Personal,-50 dBm,2.4GHz,hybrid
2025-03-06 11:04:32,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:32,E1,TIM-45424657,112,WPA2 Personal,-86 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,eduroam,132,WPA2 Enterprise,-52 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,eduroam,100,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,eduroam,52,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,eduroam,44,WPA2 Enterprise,-49 dBm,5GHz,hybrid
2025-03-06 11:04:32,E1,eduroam,11,WPA2 Enterprise,-42 dBm,2.4GHz,hybrid
2025-03-06 11:04:35,E1,ALMAWIFI,11,WPA2 Enterprise,-42 dBm,2.4GHz,hybrid
2025-03-06 11:04:35,E1,ALMAWIFI,52,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,ALMAWIFI,44,WPA2 Enterprise,-48 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,ALMAWIFI,100,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,ALMAWIFI,132,WPA2 Enterprise,-49 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:35,E1,BatWlan,132,None,-92 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,PosteMobile-77364291,6,WPA2 Personal,-58 dBm,2.4GHz,hybrid
2025-03-06 11:04:35,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:35,E1,TIM-45424657,112,WPA2 Personal,-86 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,eduroam,132,WPA2 Enterprise,-49 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,eduroam,100,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,eduroam,52,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,eduroam,44,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:35,E1,eduroam,11,WPA2 Enterprise,-42 dBm,2.4GHz,hybrid
2025-03-06 11:04:39,E1,ALMAWIFI,11,WPA2 Enterprise,-47 dBm,2.4GHz,hybrid
2025-03-06 11:04:39,E1,ALMAWIFI,52,WPA2 Enterprise,-73 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,ALMAWIFI,44,WPA2 Enterprise,-47 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,ALMAWIFI,100,WPA2 Enterprise,-78 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,ALMAWIFI,132,WPA2 Enterprise,-54 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:39,E1,BatWlan,132,None,-92 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,PosteMobile-77364291,6,WPA2 Personal,-58 dBm,2.4GHz,hybrid
2025-03-06 11:04:39,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:39,E1,TIM-45424657,112,WPA2 Personal,-88 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,eduroam,132,WPA2 Enterprise,-54 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,eduroam,100,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,eduroam,52,WPA2 Enterprise,-73 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,eduroam,44,WPA2 Enterprise,-47 dBm,5GHz,hybrid
2025-03-06 11:04:39,E1,eduroam,11,WPA2 Enterprise,-46 dBm,2.4GHz,hybrid
2025-03-06 11:04:42,E1,ALMAWIFI,11,WPA2 Enterprise,-47 dBm,2.4GHz,hybrid
2025-03-06 11:04:42,E1,ALMAWIFI,52,WPA2 Enterprise,-74 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,ALMAWIFI,44,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,ALMAWIFI,100,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,ALMAWIFI,132,WPA2 Enterprise,-55 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:42,E1,BatWlan,132,None,-92 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,PosteMobile-77364291,6,WPA2 Personal,-58 dBm,2.4GHz,hybrid
2025-03-06 11:04:42,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:42,E1,TIM-45424657,112,WPA2 Personal,-83 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,eduroam,132,WPA2 Enterprise,-55 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,eduroam,100,WPA2 Enterprise,-74 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,eduroam,52,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,eduroam,44,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:42,E1,eduroam,11,WPA2 Enterprise,-46 dBm,2.4GHz,hybrid
2025-03-06 11:04:45,E1,ALMAWIFI,11,WPA2 Enterprise,-44 dBm,2.4GHz,hybrid
2025-03-06 11:04:45,E1,ALMAWIFI,52,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,ALMAWIFI,44,WPA2 Enterprise,-38 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,ALMAWIFI,100,WPA2 Enterprise,-78 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,ALMAWIFI,132,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:45,E1,BatWlan,132,None,-92 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,PosteMobile-77364291,6,WPA2 Personal,-58 dBm,2.4GHz,hybrid
2025-03-06 11:04:45,E1,TIM-45424657,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:45,E1,TIM-45424657,112,WPA2 Personal,-88 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,eduroam,132,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,eduroam,100,WPA2 Enterprise,-74 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,eduroam,52,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,eduroam,44,WPA2 Enterprise,-38 dBm,5GHz,hybrid
2025-03-06 11:04:45,E1,eduroam,11,WPA2 Enterprise,-44 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,ALMAWIFI,11,WPA2 Enterprise,-46 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,ALMAWIFI,44,WPA2 Enterprise,-48 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,ALMAWIFI,52,WPA2 Enterprise,-82 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,ALMAWIFI,100,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,ALMAWIFI,132,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,AndroidAP5362,11,WPA2 Personal,-81 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,BatWlan,132,None,-90 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,PosteMobile-77364291,6,WPA2 Personal,-58 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,TIM-45424657,11,WPA2 Personal,-85 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,TIM-45424657,112,WPA2 Personal,-88 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,WISPER,9,None,-90 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,eduroam,132,WPA2 Enterprise,-44 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,eduroam,100,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,eduroam,11,WPA2 Enterprise,-46 dBm,2.4GHz,hybrid
2025-03-06 11:04:49,E1,eduroam,52,WPA2 Enterprise,-83 dBm,5GHz,hybrid
2025-03-06 11:04:49,E1,eduroam,44,WPA2 Enterprise,-48 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,ALMAWIFI,11,WPA2 Enterprise,-47 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,ALMAWIFI,44,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,ALMAWIFI,64,WPA2 Enterprise,-69 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,ALMAWIFI,52,WPA2 Enterprise,-80 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,ALMAWIFI,132,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,AndroidAP5362,11,WPA2 Personal,-86 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,BatWlan,132,None,-85 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,PosteMobile-77364291,6,WPA2 Personal,-49 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,TIM-45424657,112,WPA2 Personal,-88 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,TIM-45424657,11,WPA2 Personal,-85 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,WISPER,9,None,-90 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,eduroam,132,WPA2 Enterprise,-45 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,eduroam,11,WPA2 Enterprise,-47 dBm,2.4GHz,hybrid
2025-03-06 11:04:52,E1,eduroam,52,WPA2 Enterprise,-79 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,eduroam,44,WPA2 Enterprise,-44 dBm,5GHz,hybrid
2025-03-06 11:04:52,E1,eduroam,64,WPA2 Enterprise,-69 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,ALMAWIFI,11,WPA2 Enterprise,-45 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,ALMAWIFI,44,WPA2 Enterprise,-49 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,ALMAWIFI,52,WPA2 Enterprise,-67 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,ALMAWIFI,100,WPA2 Enterprise,-76 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,ALMAWIFI,132,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,AndroidAP5362,11,WPA2 Personal,-86 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,BatWlan,6,WPA2 Personal,-49 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,TIM-45424657,112,WPA2 Personal,-86 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,TIM-45424657,11,WPA2 Personal,-85 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,WISPER,9,None,-90 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,eduroam,52,WPA2 Enterprise,-67 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,eduroam,132,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,eduroam,11,WPA2 Enterprise,-45 dBm,2.4GHz,hybrid
2025-03-06 11:04:56,E1,eduroam,44,WPA2 Enterprise,-47 dBm,5GHz,hybrid
2025-03-06 11:04:56,E1,eduroam,100,WPA2 Enterprise,-75 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,ALMAWIFI,11,WPA2 Enterprise,-46 dBm,2.4GHz,hybrid
2025-03-06 11:04:59,E1,ALMAWIFI,44,WPA2 Enterprise,-46 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,ALMAWIFI,52,WPA2 Enterprise,-72 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,ALMAWIFI,100,WPA2 Enterprise,-73 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,ALMAWIFI,132,WPA2 Enterprise,-41 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,AndroidAP5362,11,WPA2 Personal,-86 dBm,2.4GHz,hybrid
2025-03-06 11:04:59,E1,BatWlan,6,WPA2 Personal,-60 dBm,2.4GHz,hybrid
2025-03-06 11:04:59,E1,TIM-45424657,112,WPA2 Personal,-86 dBm,5GHz,hybrid
2025-03-06 11:04:59,E1,TIM-45424657,11,WPA2 Personal,-85 dBm,2.4GHz,hybrid
2025-03-06 11:04:59,E1,WISPER,9,None,-90 dBm,2.4GHz,hybrid
2025-03-06 11:04:59,E1,eduroam,52,WPA2 Enterprise,-73 dBm,5GHz,hybrid
