Aula,Situazione,AP1,AP2,AP3,AP4,AP5,AP6,AP8,AP9,AP13,AP14,AP15,AP16,AP19,AP20,AP21,AP22,AP23,AP24,AP27,AP28,AP36,AP37,AP38,AP39,AP41,AP42,AP44
E1,Empty,-76.0,,,,-55.0,-59.0,,,-72.0,-86.0,-48.0,-62.0,,-91.0,-72.0,-85.0,-87.0,,,,-89.0,,-67.0,-92.0,,-89.0,
E1,Empty,-76.0,,-89.0,,-62.0,-61.0,,,-76.0,-89.0,-46.0,-55.0,-82.0,-95.0,-62.0,-90.0,-88.0,,,,-89.0,,-67.0,-92.0,-73.0,-90.0,
E1,Empty,-73.0,,-84.0,,-55.0,-57.0,-84.0,,-76.0,-89.0,-43.0,-59.0,-83.0,-94.0,-65.0,-87.0,-85.0,,,,-88.0,,-77.0,-90.0,-78.0,-90.0,
E1,Empty,-77.0,,-84.0,,-52.0,-58.0,-82.0,,-81.0,-88.0,-42.0,-59.0,-83.0,-95.0,-63.0,-91.0,-86.0,,-74.0,-92.0,-88.0,,-68.0,-92.0,-78.0,-89.0,
E1,Empty,-77.0,,-86.0,,-52.0,-58.0,-82.0,,-74.0,-90.0,-42.0,-62.0,-83.0,-96.0,-63.0,-87.0,-86.0,,-79.0,-92.0,-88.0,,-75.0,-91.0,-82.0,-94.0,
E1,Empty,-73.0,,-88.0,,-54.0,-51.0,-86.0,,-71.0,-84.0,-46.0,-60.0,-75.0,-96.0,-63.0,-88.0,-83.0,,-78.0,-92.0,-88.0,,-75.0,-90.0,-82.0,-93.0,
E1,Empty,-78.0,,-85.0,,-53.0,-57.0,-85.0,,-70.0,-87.0,-46.0,-50.0,-75.0,-96.0,-63.0,-91.0,-87.0,,-78.0,-92.0,-88.0,,-75.0,-90.0,-82.0,-90.0,
E1,Empty,-78.0,,-85.0,,-53.0,-52.0,-85.0,,-67.0,-87.0,-48.0,-60.0,-75.0,-86.0,-63.0,-87.0,-84.0,,-78.0,-92.0,-88.0,,-75.0,-86.0,-82.0,-87.0,
E1,Empty,-76.0,-93.0,-85.0,,-55.0,-48.0,-85.0,,-70.0,-82.0,-44.0,-57.0,-77.0,-90.0,-63.0,-87.0,-86.0,,-72.0,-92.0,-86.0,,-73.0,-86.0,-78.0,-83.0,
E1,Empty,-80.0,-93.0,-85.0,,-50.0,-54.0,-85.0,,-70.0,-82.0,-44.0,-63.0,-77.0,-88.0,-77.0,-93.0,-86.0,,-71.0,-92.0,-86.0,,-73.0,-85.0,-75.0,-84.0,
E1,Empty,-73.0,-95.0,-85.0,,-51.0,-45.0,-85.0,,-73.0,-86.0,-44.0,-58.0,-77.0,-85.0,-77.0,-93.0,-85.0,,-71.0,-92.0,-87.0,,-71.0,-82.0,-75.0,-89.0,
E1,Empty,-73.0,-95.0,-85.0,,-48.0,-45.0,-85.0,,-74.0,-78.0,-51.0,-61.0,-74.0,-90.0,-70.0,-90.0,-85.0,-95.0,-78.0,-92.0,-84.0,,-76.0,-84.0,-76.0,-85.0,
E1,Empty,-75.0,-95.0,-85.0,,-46.0,-46.0,-85.0,,-71.0,-83.0,-42.0,-61.0,-73.0,-80.0,-70.0,-90.0,-85.0,-95.0,-73.0,,-84.0,,-76.0,-83.0,-74.0,-88.0,
E1,Empty,-75.0,-95.0,-85.0,,-44.0,-55.0,-84.0,,-75.0,-83.0,-52.0,-70.0,-73.0,-86.0,-70.0,-90.0,-84.0,-95.0,-73.0,,-84.0,,-76.0,-86.0,-74.0,-88.0,
E1,Empty,-75.0,-95.0,,,-50.0,-40.0,-84.0,,-73.0,-83.0,-61.0,-62.0,-71.0,-91.0,-73.0,-90.0,-82.0,-95.0,-75.0,,-80.0,,-72.0,-82.0,-73.0,-89.0,
E1,Empty,-76.0,-96.0,,,-41.0,-45.0,-84.0,,-66.0,-78.0,-63.0,-63.0,-71.0,-82.0,-73.0,-90.0,-82.0,-95.0,-75.0,,-83.0,,-64.0,-84.0,-76.0,-88.0,
E1,Empty,-76.0,-96.0,,,-47.0,-47.0,-84.0,,-70.0,-82.0,-51.0,-65.0,-71.0,-88.0,-68.0,-89.0,-83.0,-95.0,-71.0,,-83.0,,-70.0,-74.0,-76.0,-87.0,
E1,Empty,-78.0,-96.0,,,-47.0,-45.0,-84.0,,-70.0,-81.0,-49.0,-66.0,-66.0,-88.0,-77.0,-89.0,-81.0,-95.0,-76.0,,-85.0,,-69.0,-75.0,-78.0,-91.0,
E1,Empty,-78.0,-96.0,,,-43.0,-48.0,-84.0,,-65.0,-78.0,-63.0,-67.0,-74.0,-92.0,-79.0,-89.0,-85.0,-95.0,-83.0,,-83.0,,-66.0,-73.0,-78.0,-92.0,
